id,candidate_name,reference_behavior,evidence_location,approved_requirement_mention,phase2_recommendation,recommended_gurbakir_behavior,rationale,platform_dependencies,account_checkout_dependencies,data_privacy_security,brand_content_input,release_priority,acceptance_criteria,failure_empty_offline_lifecycle_states,test_approach,irreducible_unknowns
11,"Login and session","Customer journey, authenticated capabilities, expiry","a consolidated historical preparation index row 11; matrix CSV Login and session; official Customer Account docs","Phase 2 explicitly approves OAuth/PKCE foundation and proof","INTENTIONALLY CHANGE","Current Customer Account Mobile public-client authorization-code flow with S256 PKCE, one-time state, system browser/AppAuth, Keystore-backed session, refresh/logout, and typed account client","Legacy/mock email-password parity is insecure and explicitly rejected","AppAuth after verified callback; Apollo Customer Account; Android Keystore","Foundational account dependency; enables authenticated checkout when configured","Tokens/codes/verifier/state never logged; redirect allowlist; cancellation and replay handling; compromised-device residual risk","Sign-in copy, privacy links, account availability/markets","foundation","Device authorization/callback/query/restore/refresh/logout pass; invalid state and cancellation pass; no token artifact exists","No browser; user cancel; wrong/replayed state; expired code/token; refresh rejection; offline; key invalidation; process death","PKCE/state JVM tests; token HTTP contract; Keystore instrumentation; navigation/process tests; physical-device synthetic account","Owned Mobile client/endpoints/scopes/callback, test customer, and in-app Browser/admin access"
12,"Registration and verification","Account creation and verification journey","a consolidated historical preparation index row 12; matrix CSV Registration and verification","No approved native registration UI; current Shopify account model is authority","INTENTIONALLY CHANGE","Use current Shopify-hosted Customer Account creation/verification behavior reached through the approved OAuth flow; do not collect credentials in app","Reduces credential attack surface and avoids obsolete legacy parity","Customer Account hosted UI/system browser","Direct account dependency; may return an authenticated session","Do not intercept credentials or verification codes; validate callback/state; legal links must be approved","Account creation help/copy and support escalation","MVP","New synthetic user completes Shopify-hosted flow and returns safely; cancel/error are recoverable; no credential capture","Existing email; verification delay; cancel; callback failure; unsupported market; offline","Physical-device hosted-flow proof; callback/navigation tests; support-state UI tests","Exact Shopify hosted behavior for owned store and merchant account settings"
13,"Password recovery and update","Recovery and update journeys","a consolidated historical preparation index row 13; matrix CSV Password recovery and update","No approved in-app password feature; legacy password APIs are rejected","INTENTIONALLY CHANGE","Delegate recovery/security management to current Shopify-hosted customer accounts and provide safe help/relaunch behavior","Mobile app must not recreate obsolete credential APIs or handle passwords","Customer Account hosted UI/system browser","Account-only; logout/session reset after security changes if required","Never capture passwords/codes; prevent open redirects; avoid account enumeration in app messaging","Approved help/support copy","MVP","Hosted recovery can be opened and cancelled; return/session behavior matches Shopify contract; messages do not enumerate accounts","No account; expired link; cancel; offline; external browser return; session invalidated","Physical-device hosted-flow observation; route policy and session reset tests","Whether owned store exposes password recovery versus passwordless account behavior"
14,"Profile","Customer profile and metafields","a consolidated historical preparation index row 14; matrix CSV Profile","No approved editable field list","ACCEPT","Typed Customer Account profile read/update only for approved Shopify-supported fields; metafields require merchant schema approval","Expected authenticated MVP capability but current schema/fields must govern","Apollo Customer Account separate schema/client","Requires authenticated session; no checkout requirement","PII minimization; field-level validation; no payload logs; deletion/export policy alignment","Editable field list, labels, validation/support copy","MVP","Authorized customer reads/updates only own approved fields; userErrors map to fields; stale updates recover safely","Signed out; partial/null fields; validation error; concurrent update; offline; token expiry","Schema fixtures; authz/HTTP contracts; repository tests; Compose form/accessibility; physical device owned test customer","Approved fields/metafields, locale rules, and merchant data-governance owner"
15,"Addresses","Address CRUD and default selection","a consolidated historical preparation index row 15; matrix CSV Addresses","No approved address form/country scope","ACCEPT","Customer Account typed address CRUD with country-aware validation and cautious optimistic UI that rolls back on userErrors","Common account/checkout capability, independently justified","Apollo Customer Account; address metadata source","Requires session; affects authenticated checkout defaults","Highly sensitive PII; never logs/analytics; least retention; ensure own-customer authorization","Country/market scope, address labels, validation copy","MVP","List/create/update/delete/default operate only on test customer; confirmation for destructive delete; validation errors remain editable","No addresses; invalid postal/phone; default deletion; concurrent mutation; offline; expired session","Mapper/repository tests; form validation/accessibility; physical-device synthetic PII; deletion confirmation test","Supported countries/markets, Shopify validation behavior, and whether default address is needed in MVP"
16,"Orders","Order list and detail","a consolidated historical preparation index row 16; matrix CSV Orders","No approved detail depth or support actions","ACCEPT","Customer-scoped paginated order history with minimal approved fields and no mutation/payment behavior","Expected authenticated commerce capability but privacy and schema scope matter","Apollo Customer Account","Requires session; checkout completion may navigate to status but never trusts local completion as order truth","Order/customer/payment-adjacent data is sensitive; screenshots/analytics/logs prohibited; prevent IDOR","Order labels, status/support copy, return/cancel policy links","MVP","Only authenticated customer's orders load; cursor/empty states work; details minimize data; token expiry resets safely","No orders; partial fulfillment; missing image; pagination failure; offline; revoked session","Schema/authz contract tests; pagination; Compose privacy/accessibility; physical-device synthetic orders","MVP fields, return/cancel actions, order-status URLs, and retention/support policy"
17,"Account deletion","Dedicated backend deletion route","a consolidated historical preparation index row 17; matrix CSV Account deletion","No approved legal process, backend, or owner","NEEDS PRODUCT DECISION","Use a current Shopify-supported deletion path or a separately approved owned backend with re-authentication, explicit confirmation, audit, and complete local cleanup","Deletion is high-impact/legal and the reference Worker implementation is unknown","Possibly Customer Account plus owned backend; legal operations","Requires strong recent authentication; checkout/cart/session cleanup follows success","Irreversible PII action; authorization, retention exceptions, audit without sensitive payload, abuse prevention, and support fallback","Legal text, retention disclosure, confirmation/support flow","MVP","Owner approves controller/process; re-auth and confirmation required; idempotent status; local tokens/data cleared only at correct point; user receives truthful outcome","Pending deletion; backend unavailable; re-auth fail; partial downstream deletion; retry; legal hold; app killed","Threat model; backend authz/idempotency/audit tests; UI confirmation; end-to-end synthetic account deletion only when approved","Legal controller/processor, Shopify capability, backend owner, retention/SLA, and recovery policy"
18,"Agreements pages and permissions","Mobile pages, agreements, and permission prompts","a consolidated historical preparation index row 18; matrix CSV Agreements pages and permissions","No approved legal corpus or permission feature set","NEEDS PRODUCT DECISION","Render only approved versioned legal/support content; request Android permissions contextually at point of need, never at startup without justification","Content and permission purpose are product/legal decisions, not parity","Android resources/approved HTTPS content; runtime permission APIs","May affect notifications/camera/location only if later approved; no inherent account/checkout dependency","Record consent only where legally required and define evidence/retention; remote pages untrusted","Terms/privacy/cookie/marketing text, versioning owner, permission rationale copy","foundation","Every link has owned approved source; permissions are least-privilege and feature-triggered; denial leaves usable alternatives","Content unavailable/version mismatch; permission denied/permanently denied; offline; locale fallback","Content provenance checks; route policy; permission instrumentation; accessibility/text scaling; legal review","Required agreements, consent evidence, jurisdictions, and which permissions are actually needed"
19,"Web content","Controlled external web destinations","a consolidated historical preparation index row 19; matrix CSV Web content","Phase 2 approves allowlisted external-route foundation only","INTENTIONALLY CHANGE","Prefer system browser or Custom Tabs for explicit allowlisted HTTPS destinations; no generic embedded WebView and no credential-bearing URLs","Treats remote content as untrusted and minimizes WebView attack surface","Custom Tabs/system intent only if needed; ExternalRoutePolicy","Account OAuth uses its dedicated library; Checkout Kit internal WebView is SDK-owned and separately constrained","Block user info/non-HTTPS/unapproved hosts; strip sensitive query values from diagnostics; warn before third-party destinations if policy requires","Approved legal/support/merchant host allowlist and link labels","foundation","Allowed hosts open intended handler; disallowed/malformed/deep-link inputs fail closed; back/return behavior is stable","No handler; redirect to unapproved host; offline; malformed URL; process recreation","URI policy property tests; intent resolution instrumentation; redirect observation against owned endpoints","Final host allowlist, Custom Tabs branding, and whether any owned content requires embedded rendering"
20,"Push notifications","Firebase Cloud Messaging","a consolidated historical preparation index row 20; matrix CSV Push notifications","Phase 2 allows only project-owned Firebase development proof; notification product strategy is unapproved","NEEDS PRODUCT DECISION","If approved, FCM data messages map through typed minimal payloads and route allowlists; token registration uses an owned authorized endpoint; opt-in and OS permission are contextual","Push needs product purpose, consent, backend ownership, and lifecycle design","Firebase Messaging; owned token-registration sender/backend","Account binding optional but requires authz; checkout/payment data must never appear","Push token is personal data/identifier; define retention/deletion; notification content must avoid sensitive order/account detail on lock screen","Notification categories, copy, channel importance, opt-in strategy","post-MVP","Purpose/backend/consent approved; synthetic push routes safely foreground/background/killed; token rotation/deletion handled; denial respected","Permission denied; token refresh; malformed data; duplicate; logged out; app killed; offline; backend unavailable","Parser JVM tests; messaging fake; notification instrumentation; physical-device synthetic push; backend authz tests","Business notification use cases, sender/backend owner, consent, quiet hours, and account association"
21,"Force update and Remote Config","Remote Config and update gating","a consolidated historical preparation index row 21; matrix CSV Force update and remote config","Phase 2 approves safe typed Remote Config proof, not an update policy","INTENTIONALLY CHANGE","Typed allowlisted flags have safe local defaults; no remote value can execute code, change trust endpoints, bypass consent, or permanently lock users out without an approved release policy","Remote flags are useful but reference live values are unknown and force-update can brick access","Firebase Remote Config; Play/version policy later","No account/checkout dependency; maintenance must preserve critical support/legal access","Config values are untrusted input; minimize identifiers/analytics; emergency ownership and rollback required","Maintenance/update copy, support URL, minimum-version policy","foundation","Unavailable/malformed/stale config keeps safe defaults; fetch/activate is observable without values; approved update gate has rollback/grace path","Offline; throttled fetch; stale config; bad type; clock skew; app outdated; Play unavailable","Typed parser/default tests; Firebase fake; device fetch/fallback; rollback tabletop test","Whether force update exists, grace period, release owner, emergency rollback, and supported distribution channels"
22,"Session expiry","Expiry handling and route reset","a consolidated historical preparation index row 22; matrix CSV Session expiry","Phase 2 explicitly approves secure session lifecycle foundation","ACCEPT","Central account session state refreshes before expiry when allowed; terminal auth rejection atomically clears ciphertext, account caches, privileged routes, and checkout identity without deleting unrelated anonymous cart","Required security/correctness behavior","Customer Account OAuth/token client; Keystore; typed navigation","Direct account dependency; authenticated checkout identity must reset","Prevent token races/replay/log leakage; define retry/backoff; local clock is imperfect; logout revocation contract","Expired-session and sign-in-again copy","foundation","Concurrent requests share refresh; recoverable network error does not erase session; terminal rejection resets once; restart restores valid session only","Clock skew; offline at expiry; refresh rotation; revoked token; process death during write; key invalidation","Virtual-clock/coroutine tests; HTTP token contracts; Keystore/process instrumentation; navigation reset UI","Owned token endpoint behavior, refresh-token rotation, logout revocation, and server clock tolerance"
23,"Analytics and crash reporting","Firebase Analytics and Crashlytics","a consolidated historical preparation index row 23; matrix CSV Analytics and crash reporting","Phase 2 allows consent-aware development proof; product/legal policy is unapproved","NEEDS PRODUCT DECISION","Keep analytics/crash disabled by default; approved low-cardinality typed events only after consent policy; crash reports exclude PII, URLs, GraphQL payloads, tokens, checkout data, and free text","Telemetry can improve quality but creates privacy and leakage risk","Firebase Analytics/Crashlytics main modules through BoM","Account/checkout events are especially restricted; no raw customer/cart/order/payment fields","Define lawful basis/consent/retention/deletion/access; user controls; redaction and environment separation","Event taxonomy, consent copy, privacy policy, support/debug disclosure","post-MVP","Owner approves policy/taxonomy; disabled path sends nothing; synthetic non-sensitive event appears only in dev debug tooling; redaction tests pass","Consent unknown/denied/withdrawn; SDK unavailable; offline queue; crash before consent; environment mismatch","Fake reporter JVM tests; network/device observation; Firebase debug event; controlled non-sensitive crash only if approved","Jurisdictions/lawful basis, consent UX, retention, analytics owner, crash collection before consent"
24,"Localization and remote branding","Localized text and branding","a consolidated historical preparation index row 24; matrix CSV Localization and remote branding","Phase 2 approves Turkish resource/design-token foundation; no final brand kit or market scope","INTENTIONALLY CHANGE","Turkish baseline uses Android resources and typed local design tokens; remove legacy legacy prototype brand assets; remote configuration may select approved content values but never arbitrary code/assets/hosts","Gürbakır must be independently branded and accessible; reference/legacy assets are prohibited","Android resources; Compose Material tokens; optional approved asset pipeline","Cross-cutting; account/checkout hosted surfaces have separate Shopify branding constraints","Asset provenance/licensing, remote URL allowlists, contrast, text scaling, locale privacy, no hidden endpoint changes","Final logo/icons/colors/type/spacing/imagery, Turkish copy, locales/markets/legal content","foundation","No hardcoded user-visible copy in Kotlin where resources apply; Turkish works; locale fallback/RTL readiness defined; contrast/text scale pass; only owned assets","Missing translation; long text; locale change; RTL; asset failure; remote config unavailable; dark mode","Resource lint; pseudolocale/RTL and text-scale UI tests; contrast/accessibility review; provenance audit","Final brand kit, supported locales/markets/currencies, content owner, and remote-branding scope"
