screen_id,purpose,feature_groups,roadmap_slice,entry_points,exit_paths,navigation_arguments,authentication,state_holder,phase2_dependency,data_source,persistence,loading_state,empty_state,success_state,recoverable_error_state,terminal_error_state,offline_behavior,accessibility,localization_content,analytics_policy,reference_evidence_or_rationale,release_disposition
"CART","Manage complete cart lines quantities totals ownership and recovery","09|22|24","P3-06","Cart action first appears after P3-06|PRODUCT_DETAIL add|checkout return","CHECKOUT_SHEET|PRODUCT_DETAIL|HOME|ACCOUNT sign-in|LOCAL_DATA_CONTROLS","None; cart capability ID never enters route or SavedState","No for Anonymous; session-aware for associated states","CartViewModel plus dedicated ownership reducer","Proven cart gateway/coordinator/Keystore|session boundary|typed errors","Shopify Storefront cart is authoritative; protected local cart ID only","Complete opaque cart ID and expiry in Keystore store; no cart ID in Room/DataStore","Restore or mutation progress preserves last valid cart","True empty cart with continue-shopping action","Lines totals warnings and ownership are current; quantity updates reconcile server normalization","Retry safe operation; retain last valid cart; definitive invalid cart offers explicit replace/rebuild","Quarantined cart cannot display as anonymous or checkout; user may clear or re-authenticate","Existing proven cart may display with offline mutation disabled; detach can remain pending/quarantined","Quantity/remove semantics; totals grouped; focus after deletion; warnings announced","TR/EN app copy and currency formatting; no invented shipping promise","None; cart IDs notes attributes prices and errors excluded from logs","Reference destination FACT: CartScreenDestination; ownership state machine is independent stricter policy","Required in P3-06; completely absent before then"
"CHECKOUT_SHEET","Present Shopify-hosted checkout and map lifecycle callbacks without claiming ownership of hosted UI","10|22","P3-07","CART checkout action after refresh and eligibility check","CART on cancel/failure|HOME or ORDERS only after genuine completion policy|external offsite return","Validated checkoutUrl passed only to adapter; never a navigation route argument","Optional authenticated buyer through approved official contract","CheckoutCoordinator; hosted sheet owns its own UI state","Proven official Checkout Kit adapter exact-host policy and callbacks","Shopify Checkout Kit and checkout service","Checkout URL memory-only; no payment/order data stored by app","App presents bounded launch/preload progress","Not applicable; ineligible cart stays on CART","Hosted checkout visible and callbacks mapped exactly","Cancel/decline/failure return to retained cart with recovery","Unknown callback or process death must not clear cart or claim completion","Network state is hosted; app retains cart and gives safe retry on return","Explain external/hosted context; app return focus is deterministic; hosted accessibility is Shopify-owned","App-owned launch/result copy TR/EN; hosted localization Shopify-owned","No app Analytics; Checkout web-pixel behavior remains disabled per adapter policy","Official Shopify Checkout Kit contract; reference checkout lifecycle is not live proof","External hosted surface required in P3-07; all Bogus/proof controls absent"
"LEGAL_SUPPORT_INDEX","List the real owned privacy terms support shipping returns cancellation refund and deletion-information routes available to the user","18|19|24","P3-08","Account signed-out or signed-in|startup/recovery|update gate","EXTERNAL_OWNED_PAGE|ACCOUNT|back","None","No","LegalSupportViewModel","Typed legal links|external route policy|localization","Packaged gurbakir-legal-baseline-1 metadata plus six exact merchant-owned canonical URLs","Version/effective-date metadata packaged; no acceptance state invented and no legal body cached","Local index immediate and independent of live configuration","Mandatory merchant sources are present; an absent future route fails closed rather than showing a placeholder","Only real sources with owner version and effective date display","External handler failure remains at the index with retry and support","Unsafe or modified host query fragment port or path is rejected","Index works offline; external content shows explicit unavailable behavior","Semantic list headings; external-context announcement; focus restored after return; readable summaries","TR/EN app labels and summaries; hosted content ownership remains merchant/Shopify","None","Reference destinations FACT: AgreementsScreenDestination and PagesScreenDestination; all content is independently owned","Implemented in P3-08 from owner-approved merchant sources; required before production Account"
"EXTERNAL_OWNED_PAGE","Open one canonical allowlisted owned legal support or carrier page outside the credential-bearing app surface","18|19","P3-08","LEGAL_SUPPORT_INDEX|ACCOUNT help|ORDER_DETAIL tracking","Return to origin with focus restored|system browser controls","pageId maps locally to approved HTTPS host/path; never accept arbitrary URL from route","No for public legal/support; tracking requires signed-in source validation before leaving app","ExternalPageLauncher with local metadata state","ExternalRoutePolicy and Custom Tabs/browser boundary","Owned canonical page or allowlisted carrier destination","Optional versioned legal cache only after owner policy; no cookies/tokens managed by app","External transition progress only","Not applicable; unavailable page stays at origin with support fallback","Validated route opens with clear external context","Offline/handler failure stays at origin with retry/copy-safe support route","Reject unallowlisted redirect/host/path and never open it","Explicit offline error; critical local index remains reachable","Announce external context and return; page accessibility has an accountable content owner","Pass appropriate app language where safe; page language ownership recorded","None","Reference destination FACT: WebViewScreenDestination; renderer intentionally changed to allowlisted external context","Required for P3-08; generic WebView prohibited"
"ACCOUNT","Single account destination with signed-out and signed-in production states and links to owned account features","11|12|13|18|22|24","P3-09","Account primary navigation|session-expiry reset|safe callback return","HOSTED_ACCOUNT_JOURNEY|PROFILE|ADDRESS_LIST|ORDER_LIST|LEGAL_SUPPORT_INDEX|LOCAL_DATA_CONTROLS|ACCOUNT_DELETION when functional","Optional postAuthDestination from local allowlisted enum only","Mixed","AccountViewModel","Customer session coordinator|typed client|legal routes|navigation reset","Customer Account session and minimum customer summary after sign-in","Session material Keystore-backed; no persistent profile PII by default","Restore/refresh progress with non-sensitive shell","Signed-out state is normal and offers hosted sign-in plus legal/help","Signed-in state exposes only implemented functional destinations and logout","Retry refresh; cancellation returns signed out; terminal expiry resets stack and cart safely","Protected route never renders without valid session; corrupt session fails signed out","Signed-out/legal shell works; private content unavailable; logout detach may quarantine cart","State and destination semantics; focus after browser return/expiry; 200 percent text","Hosted passwordless wording in TR/EN; no password reset language","None","Reference destination FACT: AccountScreenDestination and LoginScreenDestination; credential screens intentionally replaced","Required in P3-09 after P3-08"
"HOSTED_ACCOUNT_JOURNEY","Launch Shopify-hosted current customer account authorization and handle success cancellation help and restart","11|12|13|19|22","P3-09","ACCOUNT sign-in|re-auth for deletion when approved","ACCOUNT|requested protected destination|LEGAL_SUPPORT_INDEX help","One-time local transaction only; callback route/state/nonce/PKCE never exposed as navigation data","No before journey; yes after valid callback","Existing OAuth transaction and session coordinators plus production orchestration","Proven discovery browser token callback and Keystore session infrastructure","Shopify discovered authorization/token/logout endpoints","Transaction/session protected by existing stores; no password or code stored by UI","System browser transition and callback exchange progress","Cancellation is a normal signed-out outcome","Authenticated session restored and destination allowlist applied","Retry discovery/launch/exchange when safe; restart clears consumed transaction","Reject malformed wrong-route replayed expired or state-mismatched callback","Browser may fail offline; remain signed out with retry/help","Announce browser transition and return; restore focus; no hidden auto-launch loop","TR/EN launch/cancel/help; hosted content Shopify/merchant-owned","None","Official Customer Account Mobile OAuth PKCE contract; reference legacy auth destinations intentionally excluded","External hosted surface required in P3-09"
"PROFILE","View and edit only approved current customer fields","14|24","P3-10","ACCOUNT signed-in","ACCOUNT|HOSTED_ACCOUNT_JOURNEY for re-auth if required","None","Yes","ProfileViewModel","Customer Account client/session|typed errors|redaction","Customer Account API current customer fields","No persistent PII by default; unsaved form state memory-only or bounded SavedState without sensitive values","Profile skeleton and save progress","Approved fields absent is a valid minimal profile state","Confirmed server values shown; save confirmation is explicit","Inline server/validation conflict with retry or reload","Permission/scope/session failure returns safely to ACCOUNT/sign-in","No stale editing offline; unsaved draft behavior explicit and bounded","Labels required/error semantics; keyboard order; focus first invalid field","TR/EN field and validation copy; merchant/legal approve field meanings","None","Reference destination FACT: ProfileScreenDestination; birthdate/metafield excluded without SR-03 approval","Conditional on approved field allowlist in P3-10"
"ADDRESS_LIST","List customer addresses and default status","15|24","P3-11","ACCOUNT signed-in|successful ADDRESS_FORM save","ADDRESS_FORM create|ADDRESS_FORM edit|ACCOUNT","None","Yes","AddressListViewModel","Customer Account client/session|market policy|redaction","Customer Account API addresses","No persistent address PII by default","Private-data skeleton","No addresses with create action","Current list and default marker; delete/set-default confirmations","Retry query/mutation and preserve last valid UI without persisting PII","Session/scope failure returns to safe account state","Private list unavailable offline; no stale PII cache by default","Default status not color-only; delete confirmation; focus after mutation","TR/EN address labels; market formats from approved policy","None","Reference destination FACT: AddressListScreenDestination","Required in P3-11"
"ADDRESS_FORM","Create or edit one customer address with approved market-specific fields","15|24","P3-11","ADDRESS_LIST create/edit","ADDRESS_LIST on confirmed save|cancel back","mode=create or mode=edit plus addressId for edit; ID validated and never logged","Yes","AddressFormViewModel","Customer Account client/session|market/address policy|redaction","Customer Account API plus approved country field rules","No local address persistence; draft memory-only unless separately approved","Existing address load for edit; save progress","Not applicable","Valid form confirmed by server then returns to list","Inline local/server errors; retry safe save; conflict reload","Unsupported country/session/scope stops save with safe exit","No offline save queue; explain requirement and preserve only non-sensitive temporary input during current process","Country-dependent order; errors linked to fields; autofill/IME safe; confirmation accessible","TR/EN labels and country formats reviewed; content length resilient","None","Reference destinations FACT: NewAddressScreenDestination and UpdateAddressScreenDestination(addressId)","Required in P3-11"
"ORDER_LIST","Show only the signed-in customer's paginated order history","16|24","P3-12","ACCOUNT signed-in|checkout completion when policy routes here","ORDER_DETAIL|ACCOUNT","None","Yes","OrderListViewModel","Customer Account client/session|typed errors|currency/date localization","Customer Account API orders","No private order cache by default","Private-data skeleton and page footer progress","No orders with support-safe explanation","Stable deduplicated paginated list","Retry current page while retaining current in-memory list","Session/scope failure resets to ACCOUNT/sign-in","Unavailable offline; do not display persistent private cache by default","Order status not color-only; list summaries grouped; page additions announced","TR/EN status labels only from approved vocabulary; locale-aware dates/currency","None","Reference destination FACT: OrderScreenDestination","Required in P3-12"
"ORDER_DETAIL","Show verified order lines totals status fulfillments and available tracking","16|19|24","P3-12","ORDER_LIST|allowlisted authenticated deep link","TRACKING_EXTERNAL|LEGAL_SUPPORT_INDEX|ORDER_LIST","orderId required; validated against authenticated API and never logged","Yes","OrderDetailViewModel","Customer Account client/session|external route policy|redaction","Customer Account API order and fulfillment data","No persistent private order cache by default","Private-detail skeleton","Unavailable or not-owned order yields generic safe error not existence oracle","Verified values and partial fulfillments displayed without invented ETA","Retry refresh; unavailable tracking falls back to support","Not-owned/session/scope failure exits safely and clears private state","No stale private detail by default","Structured headings; status not color-only; totals and tracking actions named","TR/EN approved status/support vocabulary; locale-aware money/date/address","None","Reference destination FACT: OrderDetailScreenDestination(orderId)","Required in P3-12"
"TRACKING_EXTERNAL","Open one allowlisted carrier tracking page derived from verified fulfillment data","16|19","P3-12","ORDER_DETAIL tracking action","Return to ORDER_DETAIL","No raw URL route; local fulfillment index resolves to validated URL","Yes at source; external page receives no app token","TrackingLauncher","ExternalRoutePolicy and authenticated order source","Verified Customer Account fulfillment URL or approved carrier URL pattern","None","External transition progress","No action when tracking unavailable","Validated carrier page opens","Handler/offline failure returns to order with retry/support","Reject unknown scheme host redirect or token-bearing URL","Explicit offline failure with support fallback","External-context announcement and focus return","TR/EN carrier/action labels; external content owner identified","None","Independent safe handoff; reference cargo behavior recorded at feature level","Conditional in P3-12"
"ACCOUNT_DELETION","Explain and initiate the real owned deletion request process without conflating local clear with remote completion","17|19|22","P3-13","ACCOUNT signed-in|LEGAL_SUPPORT_INDEX deletion information","HOSTED_ACCOUNT_JOURNEY re-auth|EXTERNAL_OWNED_PAGE or approved native request|ACCOUNT signed out after policy-directed clear","No arbitrary URL; approved processId and local acknowledgement reference only","Yes with re-auth according to policy","AccountDeletionViewModel","Session/re-auth|URL policy|SR-08 local-clear orchestration","Owned deletion process or resource; never reference Worker","Only minimum local request acknowledgement if policy approves; no false remote-complete flag","Load owned policy/process metadata","Screen/action absent while external process is unavailable","Request submitted or owned route reached with honest acknowledgement","Retry safe request; support escalation remains available","Remote completion is never inferred; unavailable process keeps feature blocked","Policy decides whether request can queue; default no offline submission","Non-coercive consequence text; explicit confirmation; accessible error/support","Qualified TR/EN legal/privacy copy required","None","Reference backend route is capability evidence only; server behavior UNKNOWN","Externally blocked; no placeholder button may ship"
"UPDATE_NOTICE","Present optional update information without blocking core use","21|24","P3-14","STARTUP_GATE or app resume after typed policy evaluation","Dismiss/defer to current destination|allowlisted store listing","Typed local update policy result; no arbitrary remote text or URL","No","UpdatePolicyViewModel","Remote Config typed safe defaults|version source|external route policy","Packaged version plus typed approved config","Typed non-sensitive value and fetch timestamp with expiry","Non-blocking evaluation","No screen when no approved update","Localized owned message and safe store action","Dismiss/retry fetch; malformed values fall back to absent","No terminal state; critical legal/support routes remain available","App remains usable; cached notice expires","Focus on title/action when shown; dismissal clear; large text","Packaged TR/EN copy only; remote values select behavior not content","None","Reference update capability retained with intentional safe-default difference","Conditional complete surface in P3-14"
"HARD_UPDATE_GATE","Block normal commerce only when an explicitly approved minimum-version policy has grace rollback support and critical-route access","21|18|19","P3-14|P3-16","STARTUP_GATE after governed policy evaluation","Allowlisted store listing|LEGAL_SUPPORT_INDEX|support route","Typed minimum version and grace state only","No","UpdatePolicyViewModel","Remote Config adapter|version source|critical route graph","Packaged version plus governed typed config","Non-sensitive cached policy with expiry and rollback semantics","Bounded local evaluation","Absent unless separately approved","Gate explains requirement and preserves legal/support access","Retry fetch or use approved grace path; remote failure cannot newly hard-block","Fail open to safe local policy when config is missing malformed or expired unless packaged rule says otherwise","Uses last still-valid governed policy; never depends on live fetch alone","Clear focus and actions; 200 percent text; no countdown-only meaning","TR/EN qualified release/support copy","None","Independent safety policy; live reference Remote Config behavior UNKNOWN","Absent by default; may ship only after P3-14/P3-16 governance proof"
"LOCAL_DATA_CONTROLS","Let the user inspect and clear device-local search history wishlist cached media and eligible anonymous cart according to policy","06|08|09|17|23","P3-09|P3-13|P3-15","ACCOUNT signed-out or signed-in|SEARCH history settings|WISHLIST","Return to ACCOUNT/SEARCH/WISHLIST|confirmation dialogs","None","No for local data; signed-in state affects session/cart actions","LocalDataViewModel","Room repositories|cache owners|cart/session stores|SR-08 policy","Device-local stores only","Uses each owning storage; no aggregate plaintext export","Local inventory/counts without sensitive values","Nothing stored is a valid state","Selected class clears atomically and UI confirms exact scope","Retry idempotent clear; explain protected/quarantined cart constraint","Never claim remote account deletion; ambiguous cart remains quarantined or requires explicit discard","Works offline for local stores","Destructive confirmation names scope; focus returns; no color-only warnings","TR/EN exact data-class and consequence copy","None","Independent SR-08 requirement; no reference data-management UI is copied","Required before release; may land progressively with owning slices"
"ROUTE_RECOVERY","Handle unknown invalid replayed unauthenticated or unavailable routes without exposing data or a dead end","01|19|22","P3-01|P3-09|P3-15","Invalid deep link|unknown notification route|expired callback|missing destination|terminal route restore","HOME|ACCOUNT|LEGAL_SUPPORT_INDEX when implemented|back/close","Stable reason enum only; raw incoming URI never rendered or persisted","Mixed; protected target is dropped when signed out","RouteRecoveryViewModel or navigation coordinator state","Typed route allowlist|OAuth callback validation|external route policy|error taxonomy","Local validation result only","No raw URI persistence; optional redacted reason in memory","Immediate local resolution","Not applicable","Explain unavailable destination and offer only functional safe exits","Retry only when target is still allowlisted and failure is transient","Reject replay malformed or untrusted route and clear pending state","Fully local; offline safe exits remain","Focus on error heading; one announcement; safe actions 48dp","TR/EN generic redacted messages; no server or URI text","None","Reference route inventory is completeness evidence; recovery behavior independently designed","Required from P3-01 and expanded as routes land"
