id,feature,final_status,gurbakir_behavior,reference_behavior_or_difference,phase2_dependency,external_input_owner,implementation_slice,acceptance_evidence,release_consequence_if_incomplete
"11","Login and session","INTENTIONALLY_DIFFERENT","System-browser Customer Account OAuth PKCE with hosted passwordless journey secure restore refresh logout and help","Intentional replacement of legacy credential UI","Proven discovery AppAuth presentation token client Customer Account client and Keystore session","Project owner for account copy and market policy; legal owner for required links","P3-08|P3-09|P3-15","Callback replay cancellation refresh expiry logout and accessibility tests","Account UI and release stop until legal support routes and minimum scopes are approved"
"12","Registration and verification","INTENTIONALLY_DIFFERENT","Shopify-hosted account journey; app owns only launch return cancellation help and recovery states","Reference app-owned creation and verification screens are intentionally excluded","Same OAuth callback and browser infrastructure as group 11","Project owner for hosted-journey copy and owned-environment observation when required","P3-08|P3-09|P3-15","Hosted return cancel help and route-recovery tests","Release stops if app copy promises an app-owned registration or verification workflow"
"13","Password recovery and update","NOT_APPLICABLE","No app password destination; sign-in help restarts or resumes the hosted passwordless journey","Legacy reset and update destinations are intentionally excluded","Account browser callback and session recovery infrastructure","Project owner for support wording","P3-09","Route inventory proves no password screen; help and restart tests","Release stops if legacy password collection or a dead reset action appears"
"14","Profile","ACCEPTED","Read and edit only approved current Customer Account fields; birthdate or metafield stays absent without separate purpose privacy and schema approval","Profile capability retained; reference birthdate or Worker semantics excluded","Customer Account client session errors and redaction","Project owner and legal/privacy owner for field allowlist; Shopify schema as technical source","P3-10|P3-15","Field allowlist validation conflict session expiry and no-PII-persistence tests","Release stops if unapproved fields or persistent PII are introduced"
"15","Addresses","ACCEPTED","Customer-scoped list add edit delete and default behavior with market-aware forms","Accepted capability parity with independent validation and UI","Customer Account client session typed errors and localization","Merchant for supported countries; legal/privacy owner for PII policy","P3-11|P3-15","Country validation CRUD conflict session accessibility and no-local-PII tests","Release stops if unsupported address formats or PII leakage can occur"
"16","Orders","ACCEPTED","Private paginated orders detail fulfillment and cargo tracking using verified Customer Account fields or allowlisted carrier URLs","Accepted capability parity; reference Worker tracking semantics remain unknown","Customer Account client session external URL policy and localization","Merchant/support owner for status vocabulary carriers and escalation copy","P3-12|P3-15","Pagination partial-fulfillment URL-policy session and inaccessible-tracking tests","Release stops if order ownership status or tracking is invented or exposed"
"17","Account deletion","EXTERNALLY_BLOCKED","Expose a request path only after an owned functional process resource re-auth retention and support contract exists; local clear is not remote deletion","Reference backend route proves a user need but supplies no reusable server contract","Session re-auth URL policy and SR-08 local clear orchestration","Project owner accountable with qualified legal/privacy input and an operations owner","P3-13|P3-16","Authorized owned-resource contract re-auth local-clear and acknowledgement proof","Production release stops until the external process works end to end"
"18","Agreements pages and permissions","EXTERNALLY_BLOCKED","Real owned privacy terms support and policy pages with provenance version and contextual permission rationale","Capability retained; all reference content branding and URLs excluded","Typed legal-link configuration external route policy localization and permission boundaries","Project owner accountable with qualified legal/content source","P3-00|P3-08|P3-16","Content provenance URL offline accessibility and version checks","Production Account UI and release stop until the corpus and routes exist"
"19","Web content","INTENTIONALLY_DIFFERENT","Allowlisted Custom Tabs or browser routes with external-context notice; no generic credential-bearing WebView","Safer intentional difference from the reference WebView destination","ExternalRoutePolicy OAuth browser boundary and typed navigation","Legal support and merchant owners for canonical HTTPS URLs","P3-08|P3-09|P3-12|P3-16","Host path redirect token-leak offline and focus-return tests","Release stops if an unowned or unsafe route is reachable"
"20","Push notifications","DEFERRED","No production notification capability in Phase 3; keep registration and proof routing out of release","Reference capability is recorded only; runtime routing and sender behavior remain unknown","Proven disabled explicit-consent Firebase boundary retained as infrastructure only","Future product privacy backend and operations owners","Beyond Phase 3|P3-16 absence check","Release graph SDK configuration route and permission checks prove absence","Release stops if proof push registration or unsolicited notification capability remains"
"21","Force update and Remote Config","INTENTIONALLY_DIFFERENT","Typed non-blocking local defaults and optional update notice; a hard gate is absent unless governance grace rollback and critical-route access are approved","Remote feature retained with a stricter safe-default policy","Proven typed Remote Config adapter false defaults and explicit fetch boundary","Release owner for version policy rollout rollback and support path","P3-14|P3-16","Malformed offline cached expiry rollback and critical-route tests","Release stops if Remote Config can brick startup weaken policy or introduce arbitrary content"
"22","Session expiry","ACCEPTED","Central terminal reset clears customer session and detaches or quarantines associated cart before signed-out exposure","Accepted lifecycle parity with stronger ownership protection","Customer session coordinator cart coordinator Keystore stores and typed routes","Engineering owner; no new external content beyond group 11 help routes","P3-06|P3-09|P3-15","Refresh terminal expiry offline detach quarantine back-stack and process-death tests","Release stops if authenticated data or cart identity can survive incorrectly"
"23","Analytics and crash reporting","DEFERRED","Analytics and Crashlytics remain absent in Phase 3; no event taxonomy or crash upload is implied","Reference telemetry is intentionally not copied","Typed disabled telemetry policy redaction and dependency checks","Future product privacy legal and operations owners","P3-16 decision|Beyond Phase 3","Dependency manifest local-report and data-flow absence checks","Release stops if an unapproved collection path is present"
"24","Localization and remote branding","INTENTIONALLY_DIFFERENT","Turkish-first TR and EN resources use owned local tokens and system per-app language behavior; remote branding is bounded owned content only","Localization purpose retained; reference branding assets values and layouts excluded","Typed brand tokens CommerceTheme TR EN resource parity and config validation","Project owner for final brand kit and production content; engineering for resource parity","P3-00 through P3-16","Contrast large-text pseudolocale resource-parity and asset-provenance tests","Release stops for missing translations unlicensed assets misleading fallback or arbitrary remote branding"
